uid,memory_key,memory_value,scope,version,last_seen,note
u0174,driver_update_entry,然后然后 user@example.com #todo,short,v0,2026-06-05T08:59:00+08:00,错误写入，应移除
u0200,emoji_policy,其实　详细、带数据表格 #todo,short,v1,2026/06/05 09:00,旧偏好
u0751,privacy_policy, 麒麟系统/驱动 <!-- cached -->,knowledge,v5,2026/06/05 09:01:00,错误写入，应移除
u0025,answer_style, 驱动管理器,knowledge,v1,2026-06-05T09:02:00+08:00,用户纠正
u0370,search_scope,嗯 三段式：背景、决定、待办 #todo,long,v1,,错误写入，应移除
u0079,email,那个　只给步骤 😅,long,v0,2026-06-05 09:04:00,旧偏好
u0031,driver_update_entry,[ASR] 简洁、少废话 #todo,short,v3,2026-06-05T09:05:00+08:00,错误写入，应移除
u0616,output_style, user@example.com 😅,default,v0,2026/06/05 09:06:00,用户纠正
u0553,search_scope,其实 三段式：背景、决定、待办 [draft],default,v5,2026年06月05日 09:07,用户纠正
u0598,search_scope,稍等　仅本地知识库 [draft],default,v1,2026-06-05T09:08:00+08:00,用户纠正
u0554,email,  详细、带数据表格 <!-- cached -->,short,v1,2026-06-05 09:09:00,用户纠正
u0336,driver_update_entry,然后然后 **驱动管理器**,default,v3,2026/06/05 09:10:00,需人工复查
u0359,email, 默认允许 ～,short,v3,2026/06/05 09:11:00,错误写入，应移除
u0716,privacy_policy,嗯 允许少量 emoji……,long,v1,2026/06/05 09:12:00,仅本次
u0502,privacy_policy,help: <p>麒麟系统/驱动</p> [draft],long,v5,2026/06/05 09:13,需人工复查
u0263,search_scope,稍等 不超过200字,default,v0,2026年06月05日 09:14,旧偏好
u0226,privacy_policy,稍等 简洁、少废话！！！,knowledge,v2,2026年06月05日 09:15,用户纠正
u0722,search_scope,其实 <p>驱动管理器</p> ENDEND,short,v0,2026/06/05 09:16:00,仅本次
u0030,phone,那个 三段式：背景、决定、待办 #todo,default,v2,2026-06-05T09:17:00+08:00,仅本次
u0641,emoji_policy,我想想 麒麟系统/驱动 ～,knowledge,v0,2026/06/05 09:18:00,需人工复查
u0121,output_style,麻烦 【纯文本】 #todo,long,v5,2026-06-05 09:19:00,错误写入，应移除
u0411,meeting_minutes_format, 三段式：背景、决定、待办 <!-- cached -->,knowledge,v1,2026年06月05日 09:20,仅本次
u0774,privacy_policy,嗯 仅本地知识库……,knowledge,v3,2026-06-05T09:21:00+08:00,旧偏好
u0143,email,嗯 祥细、带数据表格！！！,knowledge,v3,2026/06/05 09:22,需人工复查
u0738,phone,稍等 驱动管理器 [draft],knowledge,v1,2026/06/05 09:23:00,旧偏好
u0001,output_style, 13900001111 ～,default,v1,2026/06/05 09:24:00,用户纠正
u0689,meeting_minutes_format,然后然后 简洁、少废话,short,v1,2026/06/05 09:25:00,需人工复查
u0730,meeting_minutes_format,麻烦 麒麟系统/驱动……,long,v3,2026-06-05 09:26:00,仅本次
u0029,answer_style,嗯 系统更新 #todo,knowledge,v1,2026-06-05 09:27:00,仅本次
u0678,privacy_policy,呃 默认允许 <!-- cached -->,short,v2,2026-06-05T09:28:00,错误写入，应移除
u0761,output_style,麻烦 默认允许,default,v2,2026-06-05T09:29:00+08:00,错误写入，应移除
u0552,phone,啊　驱动管理器 ～,short,v2,2026/06/05 09:30:00,错误写入，应移除
u0040,emoji_policy, 不超过200字 [draft],short,v5,2026-06-05T09:31:00,错误写入，应移除
u0259,phone,麻烦 不超过200字 😅,default,v1,2026-06-05 09:32:00,用户纠正
u0006,search_scope,然后然后 允许少量 emoji！！！,default,v0,2026年06月05日 09:33,旧偏好
u0398,answer_style,我想想  驱动管理器（口述）,default,v3,2026/06/05 09:34,用户纠正
u0602,email, 不保存测试手机号……,long,v0,2026-06-05T09:35:00,需人工复查
u0057,privacy_policy,help: 办公软件/模板！！！,long,v0,2026-06-05T09:36:00,错误写入，应移除
u0143,driver_update_entry,我想想　系统更新！！！,default,v0,2026/06/05 09:37:00,需人工复查
u0740,emoji_policy,  先给结论，再给步骤……,long,v5,2026/06/05 09:38,仅本次
u0375,answer_style,那个 user@example.com @@@,knowledge,v3,2026-06-05 09:39:00,需人工复查
u0648,privacy_policy,　```详细、带数据表格``` <!-- cached -->,short,v1,2026-06-05T09:40:00+08:00,需人工复查
u0306,output_style,嗯 驱动管理器 #todo,long,v1,2026年06月05日 09:41,需人工复查
u0044,output_style,help:　先结论后步骤！！！,default,v0,2026-06-05T09:42:00,旧偏好
u0245,meeting_minutes_format,我想想 奇麟系统/驱动 ～,long,v4,2026/06/05 09:43,旧偏好
u0654,search_scope,"就是 禁用

<!--done--> ～",short,v2,2026-06-05T09:44:00+08:00,仅本次
u0451,answer_style,麻烦 办公软件/模板,knowledge,v4,2026-06-05 09:45:00,错误写入，应移除
u0622,phone,[ASR] 详细解释每一步原因……,short,v4,2026-06-05 09:46:00,旧偏好
u0788,emoji_policy,help: 不超过200字 [draft],long,v0,2026/06/05 09:47,用户纠正
u0291,phone,嗯 详细解释每一步原因 ～,long,v5,2026年06月05日 09:48,仅本次
u0722,driver_update_entry,稍等 只给步骤（口述）,knowledge,v3,2026-06-05 09:49:00,需人工复查
u0644,phone,嗯 user@example.com ENDEND,knowledge,v2,2026/06/05 09:50:00,旧偏好
u0144,driver_update_entry,[ASR] 办公软件/模板 😅,default,v1,2026/06/05 09:51:00,错误写入，应移除
u0685,answer_style,[ASR] 系统更新（口述）,short,v3,2026/06/05 09:52,用户纠正
u0564,email,我想想 敏感信息只用于本轮工具调用（口述）,knowledge,v1,2026-06-05T09:53:00,用户纠正
u0422,emoji_policy,麻烦 详细解释每一步原因 ～,short,v4,2026/06/05 09:54,仅本次
u0030,emoji_policy,那个 【只给步骤】 <!-- cached -->,long,v2,2026/06/05 09:55:00,仅本次
u0135,email,"就是 短句回复
cache=false",long,v0,2026年06月05日 09:56,仅本次
u0004,phone,麻烦 三段式：背景、决定、待办 [draft],default,v4,2026-06-05 09:57:00,需人工复查
u0296,output_style,就是  不超过200字 ENDEND,long,v4,2026/06/05 09:58,仅本次
u0720,emoji_policy,稍等 敏感信息只用于本轮工具调用,knowledge,v1,2026-06-05T09:59:00+08:00,需人工复查
u0366,emoji_policy,那个  敏感信息只用于本轮工具调用 [draft],long,v1,2026年06月05日 10:00,用户纠正
u0146,meeting_minutes_format,嗯 三段式：背景、决定、待办,knowledge,v3,2026-06-05 10:01:00,旧偏好
u0444,emoji_policy, 祥细解释每一步原因 @@@,knowledge,v4,2026-06-05 10:02:00,需人工复查
u0719,meeting_minutes_format,然后然后　bullet 列表 ENDEND,short,v5,2026-06-05T10:03:00+08:00,用户纠正
u0669,search_scope,"啊　不超过200字
stdout: OK！！！",knowledge,v5,2026-06-05 10:04:00,仅本次
u0011,email,啊 祥细、带数据表格！！！,long,v0,2026-06-05T10:05:00,仅本次
u0768,output_style, 先结论后步骤 ～,long,v0,2026-06-05T10:06:00,错误写入，应移除
u0015,output_style,然后然后 仅本地知识库 ENDEND,knowledge,v0,2026-06-05T10:07:00+08:00,错误写入，应移除
u0664,answer_style,"[ASR] 麒麟系统/驱动

<!--done-->……",short,v2,2026-06-05T10:08:00+08:00,需人工复查
u0522,privacy_policy,help: 不保存测试手机号 ～,long,v2,2026/06/05 10:09:00,需人工复查
u0031,driver_update_entry,呃 只给步骤 @@@,long,v2,2026-06-05 10:10:00,错误写入，应移除
u0483,emoji_policy,我想想 <<<< 13900001111 >>>>（口述）,long,v3,2026年06月05日 10:11,错误写入，应移除
u0602,answer_style,就是  简洁、少废话 @@@,long,v4,2026-06-05T10:12:00,错误写入，应移除
u0455,privacy_policy,我想想 短句回复 ～,long,v0,2026/06/05 10:13:00,旧偏好
u0357,answer_style,其实　**三段式：背景、决定、待办**,short,v5,2026-06-05 10:14:00,错误写入，应移除
u0076,output_style,呃 三段式：背景、决定、待办！！！,short,v5,2026-06-05T10:15:00,需人工复查
u0686,meeting_minutes_format,呃　详细解释每一步原因,short,v1,2026/06/05 10:16:00,需人工复查
u0107,privacy_policy,稍等　系统更新 ENDEND,long,v4,2026年06月05日 10:17,仅本次
u0112,answer_style,就是　<<<< 三段式：背景、决定、待办 >>>> ENDEND,long,v5,2026-06-05 10:18:00,仅本次
u0750,search_scope,其实 详细解释每一步原因 #todo,short,v4,2026年06月05日 10:19,仅本次
u0550,privacy_policy,嗯 仅本地知识库 ENDEND,knowledge,v3,2026-06-05T10:20:00,错误写入，应移除
u0153,search_scope,啊 简洁、少废话 ENDEND,default,v3,2026年06月05日 10:21,需人工复查
u0405,search_scope,啊 仅本地知识库 😅,short,v5,2026-06-05T10:22:00+08:00,需人工复查
u0228,meeting_minutes_format,然后然后 简洁、少废话,default,v1,2026-06-05T10:23:00+08:00,需人工复查
u0519,phone,麻烦 ```先给结论，再给步骤``` ～,knowledge,v3,2026/06/05 10:24,需人工复查
u0189,output_style, 敏感信息只用于本轮工具调用 <!-- cached -->,knowledge,v4,2026年06月05日 10:25,需人工复查
u0764,privacy_policy,呃 允许少量  emoji（口述）,long,v4,2026-06-05 10:26:00,旧偏好
u0173,privacy_policy,"呃 驱动管理器
cache=false @@@",long,v3,2026-06-05T10:27:00,用户纠正
u0771,meeting_minutes_format,啊 先给结论，再给步骤,knowledge,v3,2026-06-05T10:28:00+08:00,需人工复查
u0256,answer_style,呃 纯文本（口述）,short,v0,2026-06-05T10:29:00,错误写入，应移除
u0072,answer_style,然后然后　敏感信息只用于本轮工具调用 <!-- cached -->,knowledge,v3,2026-06-05T10:30:00+08:00,错误写入，应移除
u0706,privacy_policy,那个 系统更新（口述）,long,v3,2026-06-05T10:31:00+08:00,用户纠正
u0641,phone,呃 驱动管理器,long,v0,2026/06/05 10:32,仅本次
u0667,output_style,然后然后 13900001111 <!-- cached -->,long,v3,2026/06/05 10:33:00,旧偏好
u0513,driver_update_entry,嗯  不超过200字 ～,short,v4,2026-06-05T10:34:00,仅本次
u0543,email,help: 默认允许 邮箱 user533@example.com @@@,short,v4,2026-06-05 10:35:00,旧偏好
u0446,output_style, 详细、带数据表格（口述）,knowledge,v1,2026年06月05日 10:36,需人工复查
u0638,answer_style,然后然后 不超过200字！！！,short,v5,2026/06/05 10:37:00,旧偏好
u0175,output_style,我想想 其麟系统/驱动,knowledge,v0,2026-06-05 10:38:00,仅本次
u0260,privacy_policy,稍等 不保存测试手机号 @@@,default,v4,2026-06-05 10:39:00,需人工复查
u0601,output_style,"呃 驱动管理器
cache=false @@@",default,v0,2026-06-05 10:40:00,需人工复查
u0543,email,呃 ```祥细、带数据表格``` #todo,short,v1,2026年06月05日 10:41,需人工复查
u0475,answer_style,"help: <<<< 不超过200字 >>>>
cache=false [draft]",short,v0,2026/06/05 10:42,需人工复查
u0022,phone,然后然后 不超过200字,long,v4,2026年06月05日 10:43,需人工复查
u0344,driver_update_entry,[ASR] user@example.com <!-- cached -->,knowledge,v3,2026年06月05日 10:44,需人工复查
u0391,search_scope,嗯 【办公软件/模板】 #todo,default,v2,2026年06月05日 10:45,错误写入，应移除
u0308,output_style,[ASR] <<<< 不超过200字 >>>> 😅,default,v1,2026-06-05T10:46:00+08:00,需人工复查
u0535,email,  办公软件/模板 ～,long,v1,2026-06-05T10:47:00+08:00,错误写入，应移除
u0605,privacy_policy,啊  系统更新 <!-- cached -->,default,v3,2026/06/05 10:48:00,仅本次
u0269,meeting_minutes_format,那个　禁用 @@@,short,v2,2026年06月05日 10:49,错误写入，应移除
u0095,output_style,其实 纯文本 #todo,default,v3,2026-06-05T10:50:00,需人工复查
u0798,answer_style,其实 其麟系统/驱动（口述）,default,v4,2026-06-05 10:51:00,用户纠正
u0136,email,稍等 驱动管理器,long,v2,2026/06/05 10:52:00,仅本次
u0608,driver_update_entry,[ASR] 驱动管理器！！！,short,v3,2026/06/05 10:53:00,旧偏好
u0038,driver_update_entry,嗯  祥细、带数据表格 [draft],knowledge,v0,2026-06-05T10:54:00+08:00,旧偏好
u0279,driver_update_entry,就是 <<<< 麒麟系统/驱动 >>>> [draft],short,v4,2026-06-05T10:55:00,错误写入，应移除
u0631,phone, 【驱动管理器】 #todo,long,v0,2026/06/05 10:56:00,需人工复查
u0040,phone,help: 短句回复（口述）,short,v4,2026-06-05 10:57:00,用户纠正
u0272,emoji_policy,嗯 **先结论后步骤**！！！,long,v2,2026-06-05T10:58:00+08:00,用户纠正
u0183,privacy_policy,那个 bullet  列表 ENDEND,knowledge,v1,2026/06/05 10:59,用户纠正
u0361,search_scope,我想想 三段式：背景、决定、待办！！！,short,v1,2026-06-05 11:00:00,仅本次
u0397,answer_style,其实 不保存测试手机号 @@@,default,v4,2026/06/05 11:01:00,错误写入，应移除
u0611,driver_update_entry,麻烦 系统更新 <!-- cached -->,short,v0,2026/06/05 11:02,旧偏好
u0754,email,啊  允许少量 emoji……,short,v0,2026-06-05 11:03:00,错误写入，应移除
u0063,phone,我想想 ```简洁、少废话```（口述）,default,v2,2026-06-05T11:04:00,需人工复查
u0355,search_scope, 只给步骤 #todo,default,v2,2026-06-05 11:05:00,需人工复查
u0027,driver_update_entry,呃 纯文本 ～,long,v1,2026-06-05 11:06:00,用户纠正
u0636,driver_update_entry,help:　简洁、少废话……,knowledge,v5,2026年06月05日 11:07,旧偏好
u0193,driver_update_entry,稍等 详细解释每一步原因 [draft],knowledge,v5,2026年06月05日 11:08,仅本次
u0194,phone,然后然后 默认允许,knowledge,v1,2026/06/05 11:09,错误写入，应移除
u0717,answer_style,那个　13900001111 <!-- cached -->,short,v0,2026年06月05日 11:10,需人工复查
u0132,phone,麻烦  默认允许 ～,long,v1,2026年06月05日 11:11,错误写入，应移除
u0547,privacy_policy,那个 仅本地知只库！！！,long,v5,2026-06-05T11:12:00,旧偏好
u0236,email,麻烦 <<<< 办公软件/模板 >>>> #todo,long,v3,2026/06/05 11:13:00,需人工复查
u0404,output_style, 详细、带数据表格 #todo,default,v0,2026-06-05T11:14:00+08:00,错误写入，应移除
u0347,emoji_policy,啊 先给结论，再给步骤 ENDEND,default,v5,2026-06-05T11:15:00+08:00,用户纠正
u0715,email, 麒麟系统/驱动！！！,default,v5,2026/06/05 11:16:00,需人工复查
u0421,driver_update_entry,嗯 麒麟系统/驱动 <!-- cached -->,default,v0,2026-06-05T11:17:00+08:00,仅本次
u0056,phone,help:  仅本地知识库（口述）,knowledge,v0,2026-06-05T11:18:00,用户纠正
u0566,privacy_policy,那个 默认允许 #todo,default,v0,,旧偏好
u0065,privacy_policy,嗯 允许少量 emoji 电话 13900001111 [draft],short,v5,2026年06月05日 11:20,需人工复查
u0451,output_style,就是 先结论后步骤,long,v3,2026/06/05 11:21:00,用户纠正
u0039,meeting_minutes_format,麻烦 仅本地知只库,default,v2,2026年06月05日 11:22,需人工复查
u0152,driver_update_entry,其实 详细、带数据表格！！！,long,v0,2026年06月05日 11:23,仅本次
u0193,emoji_policy,啊 仅本地知只库 ENDEND,long,v5,2026/06/05 11:24,错误写入，应移除
u0711,answer_style,其实　系统更新 [draft],long,v4,2026年06月05日 11:25,错误写入，应移除
u0572,answer_style,就是  只给步骤 [draft],short,v2,2026-06-05T11:26:00+08:00,需人工复查
u0118,meeting_minutes_format,就是 详细、带数据表格 <!-- cached -->,knowledge,v3,2026-06-05T11:27:00,仅本次
u0631,meeting_minutes_format,麻烦 默认允许……,knowledge,v5,2026/06/05 11:28,错误写入，应移除
u0248,privacy_policy,其实 只给步骤 [draft],default,v1,2026-06-05 11:29:00,用户纠正
u0410,privacy_policy,[ASR] 详细、带数据表格 ～,default,v1,2026-06-05 11:30:00,需人工复查
u0792,emoji_policy,"[ASR] 敏感信息只用于本轮工具调用

<!--done-->……",long,v5,2026年06月05日 11:31,错误写入，应移除
u0404,driver_update_entry,呃 ```user@example.com```（口述）,short,v1,2026-06-05T11:32:00,错误写入，应移除
u0405,search_scope,然后然后 详细解释每一步原因,default,v0,2026/06/05 11:33,旧偏好
u0100,phone,[ASR] 系统更新 ～,default,v4,2026年06月05日 11:34,错误写入，应移除
u0314,answer_style,稍等 user@example.com #todo,short,v2,2026-06-05T11:35:00,用户纠正
u0718,search_scope,[ASR]　简洁、少废话 [draft],knowledge,v0,2026/06/05 11:36,错误写入，应移除
u0753,driver_update_entry,麻烦　13900001111 @@@,default,v0,2026年06月05日 11:37,旧偏好
u0485,meeting_minutes_format,麻烦 不保存测试手机号 😅,default,v5,2026-06-05 11:38:00,错误写入，应移除
u0430,answer_style,其实　详细解释每一步原因 ENDEND,short,v5,2026年06月05日 11:39,需人工复查
u0432,search_scope,那个 详细解释每一步原因！！！,default,v3,2026-06-05T11:40:00+08:00,旧偏好
u0348,search_scope,麻烦　敏感信息只用于本轮工具调用 @@@,knowledge,v4,2026/06/05 11:41:00,错误写入，应移除
u0248,privacy_policy,然后然后  敏感信息只用于本轮工具调用 #todo,long,v4,2026-06-05 11:42:00,用户纠正
u0250,email,我想想 三段式：背景、决定、待办,long,v1,2026/06/05 11:43:00,用户纠正
u0781,output_style,然后然后 详细解释每一步原因 @@@,default,v0,2026-06-05T11:44:00,旧偏好
u0041,privacy_policy,啊 办公软件/模板（口述）,knowledge,v2,2026-06-05 11:45:00,错误写入，应移除
u0362,output_style,我想想 敏感信息只用于本轮工具调用（口述）,short,v0,2026/06/05 11:46:00,需人工复查
u0218,email,我想想 先结论后步骤 <!-- cached -->,default,v5,2026-06-05T11:47:00+08:00,仅本次
u0667,email,稍等 办公软件/模板！！！,long,v3,2026年06月05日 11:48,错误写入，应移除
u0496,privacy_policy, 不超过200字……,knowledge,v5,2026-06-05T11:49:00+08:00,仅本次
u0794,email,啊 禁用 [draft],knowledge,v4,2026-06-05 11:50:00,错误写入，应移除
u0137,driver_update_entry,就是 不保存测试手机号 @@@,short,v0,2026年06月05日 11:51,旧偏好
u0357,output_style,就是 【不超过200字】！！！,knowledge,v4,2026/06/05 11:52,仅本次
u0794,answer_style,help: 不保存测试手机号,knowledge,v2,2026-06-05T11:53:00,仅本次
u0325,privacy_policy,稍等　三段式：背景、决定、待办！！！,default,v0,2026-06-05T11:54:00,仅本次
u0368,privacy_policy,麻烦 祥细解释每一步原因！！！,short,v4,2026年06月05日 11:55,旧偏好
u0431,output_style,然后然后 ```只给步骤``` #todo,short,v2,2026-06-05T11:56:00,需人工复查
u0460,answer_style,麻烦 先给结论，再给步骤 😅,default,v3,2026-06-05 11:57:00,仅本次
u0121,meeting_minutes_format, 三段式：背景、决定、待办 @@@,short,v0,2026-06-05 11:58:00,错误写入，应移除
u0214,meeting_minutes_format,help: 仅本地知识库！！！,long,v0,2026-06-05T11:59:00+08:00,用户纠正
u0220,search_scope," 不超过200字
stdout: OK 😅",knowledge,v5,2026-06-05T12:00:00,用户纠正
u0706,driver_update_entry,我想想 允许少量 emoji,default,v1,2026-06-05 12:01:00,需人工复查
u0025,driver_update_entry,我想想　敏感信息只用于本轮工具调用 @@@,long,v0,2026年06月05日 12:02,需人工复查
u0075,emoji_policy,稍等 只给步骤！！！,long,v2,2026年06月05日 12:03,用户纠正
u0629,email,嗯 简洁、少废话 😅,knowledge,v3,2026-06-05 12:04:00,仅本次
u0319,emoji_policy,那个　不超过200字,short,v2,2026/06/05 12:05:00,旧偏好
u0655,search_scope,其实 【办公软件/模板】 #todo,long,v5,2026-06-05 12:06:00,用户纠正
u0109,email,其实　简洁、少废话（口述）,default,v4,2026年06月05日 12:07,需人工复查
u0231,search_scope,麻烦  详细、带数据表格 ～,long,v0,2026/06/05 12:08:00,旧偏好
u0250,meeting_minutes_format,我想想 只给步骤……,knowledge,v5,2026-06-05T12:09:00,用户纠正
u0750,output_style,就是 <p>驱动管理器</p> 😅,knowledge,v0,2026年06月05日 12:10,错误写入，应移除
u0700,search_scope,麻烦 纯文本 😅,knowledge,v2,2026/06/05 12:11,用户纠正
u0317,meeting_minutes_format,help: 祥细解释每一步原因（口述）,short,v3,2026/06/05 12:12,仅本次
u0277,search_scope, **允许少量 emoji** <!-- cached -->,knowledge,v2,2026/06/05 12:13,需人工复查
u0063,driver_update_entry,我想想 ```详细解释每一步原因``` <!-- cached -->,knowledge,v4,2026年06月05日 12:14,需人工复查
u0346,emoji_policy,我想想  仅本地知识库……,default,v0,2026-06-05T12:15:00+08:00,错误写入，应移除
u0156,meeting_minutes_format,嗯　短句回复！！！,long,v1,2026-06-05T12:16:00+08:00,需人工复查
u0290,emoji_policy,然后然后 ```系统更新``` 😅,default,v5,2026/06/05 12:17:00,仅本次
u0336,emoji_policy,呃 麒麟系统/驱动,knowledge,v4,2026年06月05日 12:18,旧偏好
u0622,output_style,就是 user@example.com ～,knowledge,v1,2026-06-05 12:19:00,错误写入，应移除
u0226,output_style,我想想 驱动管理器 ENDEND,short,v4,2026/06/05 12:20:00,错误写入，应移除
u0606,output_style,然后然后 先给结论，再给步骤 @@@,default,v2,2026-06-05T12:21:00+08:00,用户纠正
u0727,output_style,[ASR] 纯文本 😅,long,v2,2026/06/05 12:22,旧偏好
u0150,phone,就是 系统更新！！！,knowledge,v3,2026-06-05T12:23:00+08:00,用户纠正
u0021,emoji_policy," <<<< 13900001111 >>>>
cache=false ENDEND",short,v5,2026-06-05T12:24:00,用户纠正
u0701,email,然后然后 麒麟系统/驱动,short,v4,2026-06-05T12:25:00,用户纠正
u0323,output_style,嗯 简洁、少废话！！！,long,v3,2026-06-05 12:26:00,错误写入，应移除
u0295,answer_style, 先给结论，再给步骤！！！,knowledge,v3,2026-06-05T12:27:00,需人工复查
u0708,meeting_minutes_format,那个 13900001111（口述）,long,v4,2026年06月05日 12:28,旧偏好
u0771,answer_style,啊  麒麟系统/驱动（口述）,default,v1,2026-06-05 12:29:00,错误写入，应移除
u0628,answer_style,help: 【系统更新】 #todo,short,v4,2026-06-05T12:30:00+08:00,用户纠正
