pref_id,uid,pref_key,pref_value,version,note
P-D04-00074,u0222,answer_style,呃 先给结论，再给步骤 @@@,v4,管理员导入旧偏好
P-D04-00075,u0256,output_style,呃 先结论后步骤 😅,v3,管理员导入旧偏好
P-D04-00076,u0563,meeting_minutes_format, <<<< 三段式：背景、决定、待办 >>>> <!-- cached -->,v1,重复记录
P-D04-00077,u0446,privacy_policy,help: 敏感信息只用于本轮工具调用 😅,v2,管理员导入旧偏好
P-D04-00078,u0771,answer_style,啊　**短句回复** #todo,v3,重复记录
P-D04-00079,u0710,privacy_policy,help:  不保存测试手机号 😅,v3,仅本次例外
P-D04-00080,u0398,emoji_policy,[ASR] 允许少量 emoji #todo,v3,仅本次例外
P-D04-00081,u0189,emoji_policy,就是 禁用……,v3,用户明确表达
P-D04-00082,u0164,output_style,我想想 **详细、带数据表格** #todo,v1,重复记录
P-D04-00083,u0271,search_scope,我想想 仅本地知识库,v0,用户明确表达
P-D04-00084,u0592,privacy_policy,"呃 不保存测试手机号

<!--done-->！！！",v3,用户纠正
P-D04-00085,u0177,output_style,其实 【只给步骤】（口述）,v0,用户明确表达
P-D04-00086,u0217,meeting_minutes_format,[ASR] bullet 列表！！！,v3,用户明确表达
P-D04-00087,u0003,privacy_policy,稍等 不保存测试手机号……,v3,用户明确表达
P-D04-00088,u0514,meeting_minutes_format,"麻烦 不超过200字
stdout: OK！！！",v3,用户纠正
P-D04-00089,u0503,meeting_minutes_format,其实 【bullet 列表】 [draft],v1,管理员导入旧偏好
P-D04-00090,u0517,answer_style,"啊 ```先给结论，再给步骤```
cache=false [draft]",v3,用户明确表达
P-D04-00091,u0452,output_style,呃 详细、带数据表格 [draft],v4,管理员导入旧偏好
P-D04-00092,u0703,search_scope,呃 仅本地知识库 [draft],v2,管理员导入旧偏好
P-D04-00093,u0637,privacy_policy,然后然后  不保存测试手机号 😅,v4,用户明确表达
P-D04-00094,u0796,search_scope," 麒麟系统/驱动
cache=false @@@",v0,管理员导入旧偏好
P-D04-00095,u0089,output_style,然后然后 简洁、少废话！！！,v0,用户明确表达
P-D04-00096,u0773,meeting_minutes_format,呃  bullet 列表！！！,v0,仅本次例外
P-D04-00097,u0652,output_style,稍等 先结论后步骤 #todo,v2,重复记录
P-D04-00098,u0361,output_style,我想想 祥细、带数据表格 [draft],v4,用户明确表达
P-D04-00099,u0598,privacy_policy,"然后然后  敏感信息只用于本轮工具调用

<!--done--> <!-- cached -->",v1,用户纠正
P-D04-00100,u0272,meeting_minutes_format,[ASR]  三段式：背景、决定、待办（口述）,v4,仅本次例外
P-D04-00101,u0526,answer_style,然后然后  详细解释每一步原因,v0,用户明确表达
P-D04-00102,u0633,meeting_minutes_format,然后然后  三段式：背景、决定、待办 #todo,v3,用户明确表达
P-D04-00103,,privacy_policy,[ASR]  敏感信息只用于本轮工具调用 <!-- cached -->,v2,用户纠正
P-D04-00104,,meeting_minutes_format," 不超过200字

<!--done--> ENDEND",v1,用户纠正
P-D04-00105,u0563,answer_style,"稍等 短句回复
cache=false 😅",v1,仅本次例外
P-D04-00106,u0529,privacy_policy,麻烦 不保存测试手机号 @@@,v2,管理员导入旧偏好
P-D04-00107,u0777,privacy_policy," 敏感信息只用于本轮工具调用
cache=false <!-- cached -->",v2,重复记录
P-D04-00108,u0451,search_scope,麻烦 <p>仅本地知识库</p> 😅,v0,用户纠正
P-D04-00109,u0550,meeting_minutes_format,然后然后 【三段式：背景、决定、待办】！！！,v4,仅本次例外
P-D04-00110,u0239,output_style,那个　<<<< 先结论后步骤 >>>>……,v1,管理员导入旧偏好
P-D04-00111,u0590,privacy_policy,呃　敏感信息只用于本轮工具调用 ～,v2,重复记录
P-D04-00112,u0219,answer_style,啊  短句回复……,v3,用户明确表达
P-D04-00113,u0053,privacy_policy,我想想 不保存测试手机号……,v0,管理员导入旧偏好
P-D04-00114,u0770,search_scope,啊 奇麟系统/驱动 #todo,v1,用户纠正
P-D04-00115,u0212,search_scope,[ASR] 办公软件/模板（口述）,v2,用户纠正
P-D04-00116,u0539,meeting_minutes_format, 不超过200字,v2,用户明确表达
P-D04-00117,u0145,answer_style,然后然后 短句回复 <!-- cached -->,v3,用户明确表达
P-D04-00118,u0742,privacy_policy,就是 不保存测试手机号……,v2,用户纠正
P-D04-00119,u0599,search_scope,"啊 仅本地知只库
cache=false……",v3,用户明确表达
P-D04-00120,u0434,meeting_minutes_format,"然后然后 三段式：背景、决定、待办
cache=false 😅",v0,仅本次例外
P-D04-00121,u0239,output_style,呃 祥细、带数据表格,v2,用户明确表达
P-D04-00122,u0657,meeting_minutes_format,那个  不超过200字 @@@,v4,用户明确表达
P-D04-00123,u0126,search_scope,[ASR]　麒麟系统/驱动（口述）,v4,仅本次例外
P-D04-00124,u0076,emoji_policy,那个 禁用（口述）,v1,用户明确表达
P-D04-00125,u0784,meeting_minutes_format,呃 不超过200字 ～,v0,管理员导入旧偏好
P-D04-00126,u0031,privacy_policy,我想想  不保存测试手机号 😅,v1,管理员导入旧偏好
P-D04-00127,u0096,answer_style,啊 详细解释每一步原因 😅,v0,管理员导入旧偏好
P-D04-00128,u0073,answer_style,那个 祥细解释每一步原因 😅,v2,重复记录
P-D04-00129,u0026,emoji_policy,呃 默认允许 <!-- cached -->,v4,管理员导入旧偏好
P-D04-00130,u0310,answer_style,其实 先给结论，再给步骤,v2,用户明确表达
P-D04-00131,u0325,output_style,"啊 祥细、带数据表格
cache=false @@@",v0,仅本次例外
P-D04-00132,u0626,answer_style,然后然后 短句回复（口述）,v2,重复记录
P-D04-00133,u0552,output_style,我想想 **只给步骤**（口述）,v3,仅本次例外
P-D04-00134,u0674,privacy_policy,稍等 不保存测试手机号（口述）,v1,重复记录
P-D04-00135,u0248,privacy_policy,"稍等 不保存测试手机号
cache=false #todo",v3,用户纠正
P-D04-00136,u0273,answer_style,其实 祥细解释每一步原因,v2,重复记录
P-D04-00137,u0307,meeting_minutes_format,其实  bullet 列表！！！,v0,重复记录
P-D04-00138,u0048,meeting_minutes_format,help: 三段式：背景、决定、待办！！！,v2,仅本次例外
P-D04-00139,u0008,emoji_policy,就是 默认允许！！！,v1,用户纠正
P-D04-00140,u0586,answer_style,其实 ```短句回复``` <!-- cached -->,v4,仅本次例外
P-D04-00141,u0044,output_style,我想想 详细、带数据表格 ENDEND,v0,管理员导入旧偏好
P-D04-00142,u0491,privacy_policy,啊 敏感信息只用于本轮工具调用 😅,v3,重复记录
P-D04-00143,u0011,meeting_minutes_format,然后然后  不超过200字,v1,仅本次例外
P-D04-00144,u0105,output_style, 只给步骤 ～,v4,仅本次例外
P-D04-00145,u0005,output_style,啊 简洁、少废话 #todo,v1,用户明确表达
P-D04-00146,u0443,meeting_minutes_format,"呃 不超过200字
cache=false ENDEND",v4,用户明确表达
P-D04-00147,u0393,output_style,嗯 简洁、少废话 [draft],v2,仅本次例外
P-D04-00148,u0034,output_style,其实 先结论后步骤 #todo,v4,用户纠正
P-D04-00149,,emoji_policy,呃 <p>默认允许</p>！！！,v0,仅本次例外
P-D04-00150,u0465,emoji_policy,然后然后 默认允许 #todo,v1,用户明确表达
P-D04-00151,u0667,emoji_policy,其实 纯文本,v2,重复记录
P-D04-00152,u0252,answer_style, 短句回复 @@@,v3,仅本次例外
P-D04-00153,u0593,answer_style,啊 详细解释每一步原因 [draft],v2,管理员导入旧偏好
P-D04-00154,u0740,privacy_policy,其实 【敏感信息只用于本轮工具调用】……,v1,重复记录
P-D04-00155,u0470,privacy_policy,其实  不保存测试手机号,v3,管理员导入旧偏好
P-D04-00156,u0090,emoji_policy,就是 允许少量　emoji！！！,v1,管理员导入旧偏好
P-D04-00157,u0716,privacy_policy,嗯  不保存测试手机号……,v1,重复记录
P-D04-00158,u0761,meeting_minutes_format,help:  三段式：背景、决定、待办 #todo,v0,管理员导入旧偏好
P-D04-00159,u0054,search_scope,[ASR] 麒麟系统/驱动 😅,v3,重复记录
P-D04-00160,u0659,emoji_policy,help: 禁用 ～,v4,重复记录
P-D04-00161,u0517,meeting_minutes_format,那个  三段式：背景、决定、待办（口述）,v3,仅本次例外
P-D04-00162,u0552,output_style,麻烦　只给步骤 ENDEND,v1,仅本次例外
P-D04-00163,u0247,answer_style,呃  <p>先给结论，再给步骤</p> <!-- cached -->,v2,用户明确表达
P-D04-00164,u0501,meeting_minutes_format,呃 **三段式：背景、决定、待办** ～,v3,仅本次例外
P-D04-00165,u0758,output_style,help: 详细、带数据表格 #todo,v4,用户纠正
P-D04-00166,u0019,meeting_minutes_format,"[ASR]　不超过200字

<!--done--> [draft]",v3,仅本次例外
P-D04-00167,u0210,emoji_policy,我想想 纯文本 [draft],v4,用户明确表达
P-D04-00168,u0524,emoji_policy,那个 纯文本 [draft],v3,重复记录
P-D04-00169,u0243,privacy_policy,然后然后 不保存测试手机号 ～,v4,用户纠正
P-D04-00170,u0440,answer_style,啊 详细解释每一步原因 #todo,v0,用户纠正
P-D04-00171,u0027,search_scope,其实 <p>仅本地知识库</p>,v0,管理员导入旧偏好
P-D04-00172,u0656,emoji_policy,[ASR]  <p>允许少量　emoji</p>,v2,仅本次例外
P-D04-00173,u0071,answer_style,呃  短句回复 😅,v3,用户纠正
P-D04-00174,u0421,privacy_policy,稍等　不保存测试手机号 [draft],v2,管理员导入旧偏好
P-D04-00175,u0142,answer_style,[ASR]　短句回复 😅,v3,重复记录
P-D04-00176,u0528,search_scope,我想想 麒麟系统/驱动！！！,v4,重复记录
P-D04-00177,u0540,output_style, 先结论后步骤 [draft],v3,用户明确表达
P-D04-00178,u0348,emoji_policy,就是 默认允许……,v1,用户明确表达
P-D04-00179,u0031,emoji_policy,麻烦  允许少量 emoji #todo,v0,用户明确表达
P-D04-00180,u0309,meeting_minutes_format,其实　三段式：背景、决定、待办 ～,v2,用户明确表达
P-D04-00181,u0649,privacy_policy,我想想 不保存测试手机号 [draft],v1,仅本次例外
P-D04-00182,u0339,meeting_minutes_format,help: 不超过200字 ～,v1,用户纠正
P-D04-00183,u0140,meeting_minutes_format,　不超过200字（口述）,v1,管理员导入旧偏好
P-D04-00184,u0602,output_style,"然后然后 简洁、少废话

<!--done--> ENDEND",v3,管理员导入旧偏好
P-D04-00185,u0498,answer_style," 短句回复

<!--done--> @@@",v1,重复记录
P-D04-00186,u0158,privacy_policy,就是 不保存测试手机号 ～,v1,重复记录
P-D04-00187,u0243,privacy_policy,然后然后 敏感信息只用于本轮工具调用 <!-- cached -->,v1,管理员导入旧偏好
P-D04-00188,u0276,search_scope,麻烦 仅本地知识库 #todo,v2,用户纠正
P-D04-00189,u0316,meeting_minutes_format,啊 ```bullet 列表``` ～,v4,重复记录
P-D04-00190,u0067,search_scope,help: 办公软件/模板 @@@,v4,仅本次例外
P-D04-00191,u0238,answer_style,那个 先给结论，再给步骤,v3,用户明确表达
P-D04-00192,u0403,search_scope, 仅本地知识库！！！,v3,用户纠正
P-D04-00193,u0036,privacy_policy,啊 敏感信息只用于本轮工具调用 @@@,v3,重复记录
P-D04-00194,u0589,privacy_policy,help: 不保存测试手机号！！！,v0,用户明确表达
P-D04-00195,u0567,meeting_minutes_format,help: 三段式：背景、决定、待办（口述）,v2,管理员导入旧偏好
P-D04-00196,u0472,emoji_policy,麻烦　默认允许 ENDEND,v0,重复记录
P-D04-00197,u0140,emoji_policy,呃 纯文本 #todo,v3,用户纠正
P-D04-00198,u0275,answer_style,其实 先给结论，再给步骤 <!-- cached -->,v2,用户明确表达
P-D04-00199,u0684,emoji_policy,help: 纯文本（口述）,v2,用户明确表达
P-D04-00200,u0463,search_scope,麻烦 仅本地知只库（口述）,v1,用户明确表达
P-D04-00201,u0438,emoji_policy,我想想 纯文本！！！,v0,仅本次例外
P-D04-00202,u0084,privacy_policy,就是 不保存测试手机号,v2,仅本次例外
P-D04-00203,u0433,search_scope,我想想 麒麟系统/驱动 [draft],v4,用户明确表达
P-D04-00204,u0066,privacy_policy,然后然后 不保存测试手机号！！！,v0,用户纠正
P-D04-00205,u0777,privacy_policy,就是 不保存测试手机号 😅,v1,重复记录
P-D04-00206,u0014,emoji_policy,[ASR] 【默认允许】（口述）,v4,用户纠正
P-D04-00207,u0260,search_scope,那个　仅本地知识库 [draft],v3,用户纠正
P-D04-00208,u0424,emoji_policy,我想想 纯文本 #todo,v3,仅本次例外
P-D04-00209,u0076,output_style,啊 简洁、少废话 @@@,v0,用户明确表达
P-D04-00210,u0367,search_scope,嗯 仅本地知识库！！！,v2,用户纠正
P-D04-00211,u0565,privacy_policy,我想想 <p>不保存测试手机号</p> #todo,v0,重复记录
P-D04-00212,u0092,search_scope,help:  仅本地知识库 [draft],v4,管理员导入旧偏好
P-D04-00213,u0773,search_scope,我想想　仅本地知识库（口述）,v1,用户纠正
P-D04-00214,u0145,search_scope,我想想 仅本地知只库,v1,用户纠正
P-D04-00215,u0485,output_style,其实  先结论后步骤 ENDEND,v4,管理员导入旧偏好
P-D04-00216,u0700,output_style,那个 【详细、带数据表格】（口述）,v1,用户纠正
P-D04-00217,u0004,meeting_minutes_format,呃 bullet 列表 ENDEND,v0,重复记录
P-D04-00218,u0056,answer_style,我想想 **详细解释每一步原因** ENDEND,v2,重复记录
P-D04-00219,u0431,output_style,啊　```先结论后步骤``` @@@,v3,重复记录
P-D04-00220,u0119,meeting_minutes_format,啊 bullet 列表 ～,v3,管理员导入旧偏好
P-D04-00221,u0328,search_scope,help: 麒麟系統系统/驱动,v4,用户明确表达
P-D04-00222,u0426,output_style,那个 先结论后步骤 <!-- cached -->,v2,重复记录
P-D04-00223,u0010,answer_style,那个 详细解释每一步原因……,v0,用户纠正
P-D04-00224,u0213,privacy_policy,我想想 不保存测试手机号 ENDEND,v1,用户纠正
P-D04-00225,u0106,search_scope,其实　仅本地知识库 😅,v0,用户明确表达
P-D04-00226,u0275,output_style,help:　详细、带数据表格 [draft],v2,仅本次例外
P-D04-00227,u0092,search_scope,其实 仅本地知识库（口述）,v2,重复记录
P-D04-00228,u0480,output_style,那个 先结论后步骤 ～,v3,重复记录
P-D04-00229,,privacy_policy,啊 敏感信息只用于本轮工具调用 ENDEND,v1,管理员导入旧偏好
P-D04-00230,u0502,privacy_policy,啊　敏感信息只用于本轮工具调用 #todo,v1,用户纠正
P-D04-00231,u0309,output_style,麻烦 只给步骤 @@@,v4,用户纠正
P-D04-00232,u0145,output_style,然后然后 先结论后步骤 ENDEND,v2,用户明确表达
P-D04-00233,u0059,answer_style,[ASR] 祥细解释每一步原因……,v2,用户明确表达
P-D04-00234,u0095,output_style,嗯 简洁、少废话 #todo,v4,用户明确表达
P-D04-00235,u0523,meeting_minutes_format,啊 不超过200字 电话 13812345678 <!-- cached -->,v1,用户明确表达
P-D04-00236,u0100,search_scope,然后然后 奇麟系统/驱动,v3,用户纠正
P-D04-00237,u0271,search_scope,其实 办公软件/模板 😅,v0,用户明确表达
P-D04-00238,u0741,emoji_policy,[ASR] 【允许少量 emoji】 [draft],v3,重复记录
P-D04-00239,u0363,search_scope,其实 办公软件/模板（口述）,v1,用户明确表达
P-D04-00240,u0213,privacy_policy,麻烦　敏感信息只用于本轮工具调用 ～,v4,管理员导入旧偏好
P-D04-00241,u0734,output_style,我想想 只给步骤！！！,v3,用户纠正
P-D04-00242,u0273,privacy_policy,啊 **不保存测试手机号** ENDEND,v4,用户明确表达
P-D04-00243,u0618,search_scope,稍等　```办公软件/模板```（口述）,v0,重复记录
P-D04-00244,u0476,search_scope,help: 仅本地知识库 ～,v1,用户纠正
P-D04-00245,u0693,answer_style," 短句回复

<!--done-->",v0,用户纠正
P-D04-00246,u0155,meeting_minutes_format,啊 bullet 列表……,v3,用户纠正
P-D04-00247,u0586,emoji_policy,"然后然后　禁用
cache=false ENDEND",v2,用户纠正
P-D04-00248,u0730,output_style,[ASR] 简洁、少废话！！！,v0,重复记录
P-D04-00249,u0741,meeting_minutes_format,麻烦  【三段式：背景、决定、待办】（口述）,v4,管理员导入旧偏好
P-D04-00250,u0098,meeting_minutes_format,那个 【bullet 列表】 ENDEND,v1,管理员导入旧偏好
P-D04-00251,u0067,search_scope,然后然后 办公软件/模板（口述）,v3,管理员导入旧偏好
P-D04-00252,u0398,meeting_minutes_format,然后然后 三段式：背景、决定、待办 <!-- cached -->,v2,用户明确表达
P-D04-00253,u0507,output_style, ```简洁、少废话```（口述）,v4,仅本次例外
P-D04-00254,u0150,emoji_policy,麻烦 禁用,v3,管理员导入旧偏好
P-D04-00255,u0506,emoji_policy,其实  禁用 ENDEND,v3,重复记录
P-D04-00256,u0426,output_style,其实　简洁、少废话 @@@,v3,仅本次例外
P-D04-00257,u0049,privacy_policy,我想想 敏感信息只用于本轮工具调用……,v3,管理员导入旧偏好
P-D04-00258,u0420,answer_style,嗯 短句回复 [draft],v3,管理员导入旧偏好
P-D04-00259,u0167,privacy_policy,我想想 敏感信息只用于本轮工具调用 <!-- cached -->,v1,用户纠正
P-D04-00260,u0129,answer_style,我想想 详细解释每一步原因 <!-- cached -->,v3,用户明确表达
P-D04-00261,u0678,emoji_policy,就是　允许少量 emoji,v0,用户明确表达
P-D04-00262,u0278,meeting_minutes_format," 【bullet 列表】
cache=false ENDEND",v0,用户明确表达
P-D04-00263,u0417,answer_style,然后然后 短句回复！！！,v4,仅本次例外
P-D04-00264,u0240,privacy_policy,麻烦 不保存测试手机号 ～,v3,用户纠正
P-D04-00265,u0403,answer_style,然后然后 短句回复 @@@,v3,重复记录
P-D04-00266,u0665,answer_style,然后然后 短句回复 [draft],v3,管理员导入旧偏好
P-D04-00267,u0166,emoji_policy,嗯 允许少量 emoji <!-- cached -->,v4,重复记录
P-D04-00268,u0096,emoji_policy,其实　默认允许！！！,v0,管理员导入旧偏好
P-D04-00269,u0698,answer_style,麻烦　短句回复 [draft],v2,用户明确表达
P-D04-00270,u0351,emoji_policy,就是 禁用 [draft],v2,用户纠正
P-D04-00271,u0485,privacy_policy,就是 不保存测试手机号,v3,管理员导入旧偏好
P-D04-00272,u0387,output_style,呃　简洁、少废话 <!-- cached -->,v1,管理员导入旧偏好
P-D04-00273,u0259,answer_style,嗯 短句回复 ENDEND,v3,用户纠正
P-D04-00274,u0005,search_scope,[ASR] 办公软件/模板 #todo,v3,用户明确表达
P-D04-00275,u0240,emoji_policy,然后然后 禁用！！！,v1,用户纠正
P-D04-00276,u0258,privacy_policy,嗯　敏感信息只用于本轮工具调用 <!-- cached -->,v3,用户明确表达
P-D04-00277,u0703,emoji_policy,其实 纯文本（口述）,v4,用户纠正
P-D04-00278,u0302,meeting_minutes_format,"help: 不超过200字

<!--done-->……",v3,重复记录
P-D04-00279,u0702,search_scope,我想想 仅本地知识库 ～,v0,用户纠正
P-D04-00280,u0430,meeting_minutes_format,呃 bullet 列表 [draft],v2,用户明确表达
P-D04-00281,u0505,meeting_minutes_format,其实 不超过200字……,v1,仅本次例外
P-D04-00282,u0111,output_style,help: 简洁、少废话 @@@,v2,用户明确表达
P-D04-00283,u0227,meeting_minutes_format,那个 不超过200字 #todo,v2,重复记录
P-D04-00284,u0363,search_scope,"稍等  麒麟系统/驱动
cache=false ENDEND",v3,重复记录
P-D04-00285,u0208,privacy_policy,"呃 敏感信息只用于本轮工具调用
cache=false 😅",v1,用户纠正
P-D04-00286,u0777,answer_style,help: 详细解释每一步原因（口述）,v3,用户明确表达
P-D04-00287,u0059,emoji_policy,呃 禁用！！！,v4,重复记录
P-D04-00288,u0351,emoji_policy,help:  禁用,v4,管理员导入旧偏好
P-D04-00289,u0781,search_scope,help:　办公软件/模板！！！,v1,用户纠正
P-D04-00290,u0327,output_style,麻烦  详细、带数据表格 ENDEND,v2,用户纠正
P-D04-00291,u0322,answer_style,"呃 ```详细解释每一步原因```

<!--done-->！！！",v3,用户明确表达
P-D04-00292,u0754,search_scope,[ASR] 办公软件/模板,v1,仅本次例外
P-D04-00293,u0765,privacy_policy,其实 **不保存测试手机号**（口述）,v0,仅本次例外
P-D04-00294,u0333,privacy_policy,啊  敏感信息只用于本轮工具调用……,v0,用户纠正
P-D04-00295,u0331,privacy_policy,就是 敏感信息只用于本轮工具调用 #todo,v1,重复记录
P-D04-00296,u0698,emoji_policy,那个 允许少量	emoji（口述）,v4,管理员导入旧偏好
P-D04-00297,u0544,privacy_policy,啊 敏感信息只用于本轮工具调用……,v1,重复记录
P-D04-00298,u0773,answer_style,然后然后 短句回复！！！,v1,用户明确表达
P-D04-00299,u0453,meeting_minutes_format,麻烦 三段式：背景、决定、待办 ～,v0,用户纠正
P-D04-00300,u0576,output_style,啊 祥细、带数据表格 ～,v1,管理员导入旧偏好
P-D04-00301,u0705,meeting_minutes_format,稍等 bullet 列表 ENDEND,v1,仅本次例外
P-D04-00302,,search_scope,"嗯 仅本地知识库
stdout: OK 😅",v3,用户明确表达
P-D04-00303,u0001,output_style,我想想 先结论后步骤（口述）,v4,用户纠正
P-D04-00304,u0134,privacy_policy,help: 敏感信息只用于本轮工具调用 @@@,v2,仅本次例外
P-D04-00305,u0471,emoji_policy,那个 禁用 ～,v4,重复记录
